feature_idx,correct_count,correct_mean_activation,correct_mean_attribution,incorrect_count,incorrect_mean_activation,incorrect_mean_attribution,supports_wrong,supports_right,correct_incorrect_ratio
2594,3,4.634012937545776,0.700236770106013,0,0.0,0.0,0,0,inf
1987,3,9.005670388539633,0.6987221479593128,2,6.241411209106445,0.04246392046904984,2,2,1.5
1105,45,11.597125985887315,0.5389452988854282,47,11.457905891093802,0.03036537100475438,40,43,0.9574468085106383
3205,1,3.58243989944458,0.49787147486138417,0,0.0,0.0,0,0,inf
4969,45,8.915758313073052,0.47688962276217783,47,8.952852563655123,0.015741521133976887,37,39,0.9574468085106383
725,1,5.976214408874512,0.4638831700438149,0,0.0,0.0,0,0,inf
1353,45,9.287379116482205,0.446439345773355,47,9.129582607999762,0.04352037236933153,37,46,0.9574468085106383
3771,45,13.120598326789008,0.3874801905455032,47,12.43788782079169,-0.014394517579688543,32,36,0.9574468085106383
1350,43,7.836923560430837,0.36876107885509857,47,8.960712564752457,-0.022528268648667443,44,37,0.9148936170212766
170,45,12.927182091606987,0.36559195791897015,47,13.044419390089969,-0.027516393590521018,44,36,0.9574468085106383
3584,45,5.613254025247362,0.29300835334947367,47,5.536363647339192,0.003988193678383606,42,38,0.9574468085106383
447,45,6.071844969855414,0.286848207728927,47,6.066099468697893,-0.0014722460857688813,38,39,0.9574468085106383
3063,45,11.853331353929308,0.2718978698201709,47,11.317784796369837,0.013703428078809629,39,37,0.9574468085106383
1030,45,6.148182074228923,0.2529456676568382,47,5.997376274555288,-0.006012108425542677,29,34,0.9574468085106383
727,41,4.776205398687503,0.23770957139938861,47,5.567347607714065,0.02284628444680736,40,36,0.8723404255319149
673,42,3.9436371319350743,0.22864536510584169,45,3.1158951580524445,0.012034199518831532,27,35,0.9333333333333333
3964,4,2.8896380737423897,0.20571943354654648,3,3.419595201810201,0.04174398422964323,1,3,1.3333333333333333
3778,5,1.5594672836363315,0.19460390813548004,13,1.0348176456128175,-0.0019922114580535315,8,2,0.38461538461538464
1119,2,2.8292704820632935,0.18602615169576894,6,5.221693317095439,0.009571700802543513,4,3,0.3333333333333333
4784,43,6.255087583564048,0.15922788158165702,47,6.548611534402726,0.02527674163742248,30,40,0.9148936170212766
3845,43,3.9354819752449215,0.15217460530808483,47,4.356881395299384,-0.04529263137908952,40,22,0.9148936170212766
188,39,2.226979625912813,0.14352446761415805,40,1.3865644964389503,0.003461399112646091,21,32,0.975
391,45,4.093234210544162,0.13707627183334956,45,3.6979493841528894,-0.027467403104060168,35,26,1.0
1862,39,2.6042439203995924,0.13577453304450027,46,2.2092750600093733,-0.005036592289307555,26,21,0.8478260869565217
2897,35,1.301429460410561,0.11092225510537955,34,1.0162892892189763,-0.0024224380730344755,20,18,1.0294117647058822
3851,10,3.272825887799263,0.1103389598167139,10,3.025201825797558,-0.016335029273305414,8,3,1.0
4260,42,2.2010731881573085,0.09658580014975883,41,2.13153983071083,0.013083937834228945,23,24,1.024390243902439
2806,44,3.0444328508932483,0.08942943163077367,47,3.242224024965408,-0.0003100407332664718,33,26,0.9361702127659575
3330,41,2.787234691766704,0.08794822986417904,43,2.142710193991661,0.011576353812632504,19,31,0.9534883720930233
1011,31,1.2677026135065863,0.06411215036478263,29,1.6063038156978016,0.007617203278581508,17,17,1.0689655172413792
1278,40,0.9966084133833647,0.019856240331441156,45,0.8899955338901944,-0.003938200209159867,17,31,0.8888888888888888
4447,41,2.512153313654225,0.017582741847365684,42,2.477131604083947,-0.04116252113165332,26,22,0.9761904761904762
4750,0,0.0,0.0,1,12.416802406311035,0.0,0,0,0.0
405,1,1.4912792444229126,-0.0005412396571752298,0,0.0,0.0,0,0,inf
4623,1,2.0185763835906982,-0.005458814765140763,0,0.0,0.0,0,0,inf
1055,42,2.502292687339442,-0.01179841412000892,45,2.044179900487264,-0.0010131058796844874,33,25,0.9333333333333333
